,word,count
441,u,7
442,handling,1
443,genocide,1
444,time,5
445,small,1
446,notice,2
447,trump,12
448,seeking,1
449,people,3
450,american,2
451,collected,1
452,170,1
453,th,1
454,autism,1
455,hsj,1
456,rev,1
457,yay,1
458,president,6
459,listened,1
460,word,2
461,watched,1
462,interview,1
463,including,1
464,finding,2
465,case,6
466,barack,1
467,obama,1
468,pandemic,2
469,saturday,3
470,broke,1
471,entry,1
472,facility,1
473,oil,1
474,surge,1
475,lockdown,5
476,ease,1
477,november,1
478,coming,2
479,could,3
480,possibly,1
481,secretary,1
482,hancock,1
483,judicial,1
484,review,1
485,patient,3
486,come,5
487,blue,4
488,checkmarks,4
489,file,1
490,first,1
491,criminal,1
492,defrauding,1
493,programme,1
494,singh,1
495,humanity,1
496,war,1
497,together,1
498,stay,1
499,birx,1
500,made,3
501,testify,1
502,senate,1
503,cdc,1
504,whole,1
505,man,1
506,photo,1
507,op,1
508,joe,1
509,next,2
510,better,2
511,article,2
512,lake,1
513,county,1
514,code,1
515,data,2
516,show,3
517,scheme,1
518,80,2
519,real,2
520,estate,1
521,deep,1
522,analysis,1
523,llama,1
524,called,1
525,winter,1
526,prove,1
527,treatment,2
528,according,1
529,belgian,1
530,scientist,2
531,remains,1
532,distancing,1
533,russian,1
534,complained,1
535,shortage,1
536,ppe,1
537,testing,2
538,mother,2
539,sick,3
540,right6,1
541,hotspot,1
542,disease,1
543,still,4
544,spreading,1
545,everyone,1
546,taking,1
547,personal,2
548,control,1
549,office,1
550,general,1
551,mcchrystal,1
552,election,1
553,intends,1
554,imposed,1
555,onto,1
556,twitter,1
557,force,3
558,continue,1
559,confirming,1
560,future,2
561,bleak,1
562,create,1
563,radical,1
564,unemployment,2
565,uk,2
566,hand,2
567,washing,1
568,play,1
569,key,1
570,role,1
571,wash,1
572,often,1
573,3c,1
574,3,1
575,simplify,1
576,reality,1
577,de,1
578,foodsystems,1
579,foodsecurity,1
580,covid19trump,1
581,shift,1
582,focus,1
583,seafood,1
584,13,1
585,cover,2
586,hoax,3
587,ma,1
588,wave,1
589,september,1
590,administration,2
591,sought,1
592,died,1
593,gee,1
594,gov,1
595,kemp,1
596,warned,1
597,growing,1
598,stre,1
599,track,1
600,highest,1
601,government,2
602,hornet,1
603,strain,1
604,cancel,1
605,twice,1
606,press,2
607,xi,1
608,transparency,1
609,navajo,2
610,within,3
611,appreciate,2
612,reservation,2
613,remember,1
614,worke,1
615,250,1
616,worldwide,1
617,hint,2
618,apitalism,2
619,aka,2
620,happens,2
621,wall,2
622,street,2
623,writes,2
624,themsel,2
625,232,2
626,yesterday,1
627,grea,1
628,rise,1
629,across,1
630,slowly,1
631,fade,1
632,age,1
633,old,2
634,veenad,1
635,scindia,2
636,ji,1
637,swati,1
638,chaturve,1
639,fact,1
640,currently,1
641,drug,1
642,licensed,1
643,http,1
644,girl,1
645,india,1
646,post,1
647,sensational,1
648,report,1
649,lowest,1
650,since,2
651,march,1
652,nail,1
653,china,3
654,knew,1
655,incident,1
656,enough,1
657,info,1
658,conspiracy,1
659,w,1
660,155,1
661,six,1
662,coordinate,1
663,wing,1
664,sex,1
665,life,1
666,f,1
667,haha,1
668,fast,1
669,democrat,1
670,nothing,1
671,else,2
672,wendy,2
673,lying,2
674,burger,2
675,excess,1
676,brexit,1
677,back,1
678,town,1
679,ending,1
680,matthew,1
681,norman,1
682,fun,1
683,exposeveritas,1
684,dipshits,1
685,wapo,1
686,moore,1
687,accuser,1
688,omg,1
689,goat,1
690,dear,1
691,fellow,1
692,trend,1
693,see,1
694,god,1
695,bless,1
696,shuttered,1
697,memorial,1
698,hm,1
699,corruptly,1
700,potus,1
701,agenda,1
702,national,1
703,wher,1
704,300,1
705,almost,1
706,marketplace,1
707,simultaneously,1
708,massachusetts,1
709,closed,1
710,among,1
711,employee,1
712,great,1
713,suited,1
714,care,1
715,coincidence,1
716,gamecock,1
717,safety,1
718,return,1
719,august,1
720,impeached,1
721,donald,1
722,hostage,1
723,bill,1
724,secu,1
725,virus,1
726,whistle,1
727,blower,1
728,steered,1
729,crony,1
730,uncle,1
731,gya,1
732,1999,1
733,signed,1
734,talk,1
735,paulo,1
736,dybala,1
737,meanwhile,1
738,nigeria,1
739,assault,1
740,activist,1
741,another,1
742,dictator,1
743,spring,1
744,break,1
745,flew,1
746,heard,2
747,test,8
748,100,5
749,000,17
750,fourth,2
751,row,1
752,despite,4
753,boris,5
754,stunning,1
755,unlocking,1
756,internal,1
757,api,1
758,make,6
759,covid,28
760,work,6
761,electiveprocedures,1
762,smith,1
763,nephew,1
764,revenue,1
765,prompting,1
766,200m,1
767,cut,3
768,book,1
769,removed,5
770,youtube,3
771,creator,2
772,act,3
773,say,26
774,telangana,1
775,meeting,1
776,kcr,1
777,tell,4
778,official,12
779,rampant,1
780,weeb,1
781,seonghwa,1
782,bts,1
783,jimin,1
784,choi,1
785,nude,1
786,cock,1
